date,date1,date2,date3,date4,date5,OT1,OT2,OT3
6.19798,6.5289,46.67529,4849.88697,-1.40053,50.99947,11.217089959097384,4.178661149163308,47.999999181208274
6.23875,6.57968,46.49994,4843.8986,-1.36292,51.15604,11.468785184954621,4.272424243295092,47.999999181208274
6.27933,6.63052,46.32976,4837.76068,-1.32246,51.31613,11.716851920463316,4.364835629300715,47.999999181208274
6.31971,6.68141,46.1651,4831.47482,-1.27918,51.47971,11.960229249881815,4.45550008815204,47.999999181208274
6.3599,6.73236,46.0063,4825.04323,-1.23316,51.64671,12.19782667507536,4.544011380601138,47.999999181208274
6.39989,6.78337,45.85369,4818.46875,-1.18445,51.81708,12.4285332353986,4.629955644576481,47.999999181208274
6.43967,6.83443,45.7076,4811.75489,-1.13315,51.99073,12.6512276326643,4.71291516700019,47.999999181208274
6.47925,6.88555,45.56832,4804.90578,-1.07934,52.16754,12.864789241527246,4.792472485445751,47.999999181208274
6.5186,6.93673,45.43616,4797.92622,-1.02315,52.34741,13.068109851459115,4.8682147623325855,47.999999181208274
6.55775,6.98796,45.31139,4790.82164,-0.96468,52.53021,13.260105953893204,4.939738362210772,47.999999181208274
6.59667,7.03925,45.19427,4783.5981,-0.90409,52.71579,13.439731359051295,5.006653551861015,47.999999181208274
6.63537,7.09059,45.08503,4776.26228,-0.84152,52.90399,13.6059899025418,5.068589233836785,47.999999181208274
6.67392,7.14192,44.98897,4768.81295,-0.69567,52.9115,13.748052589289584,5.121511322544583,0.0
6.7124,7.19319,44.91141,4761.25676,-0.54757,52.91901,13.85486054546322,5.161300096505725,0.0
6.75082,7.24438,44.85252,4753.61326,-0.39785,52.92655,13.925289645804762,5.187536789484105,0.0
6.78918,7.29551,44.8124,4745.90265,-0.24718,52.93409,13.958695020501686,5.1999811705070185,0.0
6.82746,7.34656,44.79108,4738.14553,-0.09622,52.94165,13.95489409319606,5.198565225077256,0.0
6.86567,7.39753,44.78849,4730.36264,0.05435,52.94923,13.91416835956965,5.183393817742876,0.0
6.90382,7.44843,44.80448,4722.57463,0.20388,52.95681,13.83725251646005,5.154740642406917,0.0
6.94189,7.49926,44.83882,4714.80174,0.35171,52.96441,13.725311559390843,5.1130396905547935,0.0
6.9799,7.55001,44.89119,4707.06365,0.49721,52.97203,13.579907011344915,5.058872670583773,0.0
7.01783,7.60068,44.96122,4699.37921,0.63978,52.97965,13.402953903024445,4.992952981817905,0.0
7.0557,7.65128,45.04845,4691.76625,0.77886,52.9873,13.196670467456268,4.916106974424912,0.0
7.09349,7.7018,45.15237,4684.24145,0.91393,52.99495,12.963522722096664,4.829253304792081,0.0
7.13122,7.75225,45.2724,4676.82015,1.04449,53.00262,12.706166185716256,4.733381223532372,0.0
7.16888,7.80263,45.40791,4669.51632,1.17012,53.01031,12.427386921428315,4.629528612461212,0.0
7.20647,7.85294,45.55824,4662.34244,1.29044,53.01801,12.130043928450824,4.518760524012098,0.0
7.24399,7.90317,45.72266,4655.30946,1.40512,53.02573,11.817014646356482,4.402148880135849,0.0
