date,date,date,date,date,date,OT
11.76393,29.76021,23.86451,1138.5828,1.20061,105.90227,0
11.75975,29.77521,23.90028,1133.56903,1.20344,105.90795,0
11.75558,29.79014,23.93583,1128.62037,1.19629,105.91362,0
11.75143,29.805,23.97087,1123.73786,1.17929,105.91927,0
,,,,,,
2.16844,2.17067,42.56554,4240.13307,-0.90895,45.06389,0
2.20855,2.21089,42.46815,4235.59126,-0.84633,45.06604,0
2.24861,2.25108,42.37792,4230.98045,-0.78163,45.06822,0
2.28863,2.29123,42.29506,4226.30468,-0.71503,45.07042,0
2.3286,2.33133,42.21976,4221.56831,-0.64673,45.07264,0
2.36853,2.3714,42.15216,4216.77602,-0.57694,45.07489,0
2.40841,2.41142,42.09242,4211.93274,-0.50585,45.07717,0
2.44824,2.4514,42.04064,4207.04365,-0.4337,45.07947,0
2.48803,2.49133,41.99691,4202.11415,-0.36071,45.08179,0
2.52777,2.53122,41.96129,4197.1498,-0.28711,45.08413,0
2.56746,2.57107,41.93382,4192.15629,-0.21314,45.0865,0
2.6071,2.61088,41.91451,4187.13944,-0.13905,45.08889,0
2.64669,2.65064,41.90333,4182.10509,-0.06506,45.0913,0
2.68624,2.69035,41.90024,4177.05912,0.00857,45.09373,0
2.72573,2.73002,41.90517,4172.0074,0.08162,45.09619,0
2.76517,2.76964,41.91803,4166.95573,0.15384,45.09867,0
2.80457,2.80922,41.93869,4161.90982,0.22502,45.10118,0
2.84391,2.84876,41.96702,4156.87525,0.29493,45.1037,0
2.88321,2.88825,42.00283,4151.85743,0.36337,45.10625,0
2.92245,2.92769,42.04594,4146.8616,0.43012,45.10882,0
2.96165,2.96709,42.09614,4141.89278,0.49499,45.11141,0
3.0008,3.00644,42.15321,4136.95572,0.55781,45.11403,0
3.03989,3.04575,42.21688,4132.05494,0.61841,45.11667,0
3.07894,3.08502,42.28691,4127.19467,0.67662,45.11934,0
3.11794,3.12424,42.363,4122.37886,0.73231,45.12203,0
3.1569,3.16342,42.44487,4117.61115,0.78535,45.12474,0
3.1958,3.20256,42.53221,4112.89487,0.83562,45.12748,0
3.23466,3.24165,42.62471,4108.23304,0.88302,45.13024,0
3.27347,3.2807,42.72204,4103.6284,0.92746,45.13303,0
3.31223,3.31971,42.82387,4099.08334,0.96887,45.13584,0
3.35095,3.35868,42.92986,4094.59997,1.00718,45.13868,0
3.38962,3.39761,43.03968,4090.18012,1.04236,45.14155,0
3.42825,3.4365,43.15297,4085.8253,1.07435,45.14445,0
3.46684,3.47536,43.26939,4081.53677,1.10315,45.14737,0
3.50538,3.51417,43.38859,4077.31553,1.12873,45.15032,0
3.54388,3.55295,43.51022,4073.16232,1.15109,45.1533,0
3.58234,3.59169,43.63395,4069.07764,1.17025,45.15631,0
3.62075,3.63039,43.75942,4065.06179,1.18622,45.15934,0
3.65913,3.66906,43.8863,4061.11484,1.19902,45.16241,0
3.69746,3.7077,44.01425,4057.23669,1.20869,45.16551,0
3.73576,3.7463,44.14294,4053.42705,1.21527,45.16864,0
3.77402,3.78487,44.27205,4049.68547,1.21882,45.1718,0
3.81224,3.8234,44.40126,4046.01137,1.21937,45.17499,0
3.85042,3.86191,44.53025,4042.40402,1.217,45.17821,0
3.88856,3.90038,44.65873,4038.86256,1.21177,45.18146,0
3.92667,3.93883,44.78639,4035.38604,1.20374,45.18475,0
3.96475,3.97724,44.91296,4031.97342,1.19298,45.18807,0
4.00279,4.01562,45.03814,4028.62356,1.17958,45.19143,0
4.04079,4.05398,45.16167,4025.33524,1.1636,45.19482,0
4.07877,4.09231,45.28328,4022.10719,1.14514,45.19824,0
4.1167,4.13061,45.40273,4018.93807,1.12426,45.2017,0
4.15461,4.16889,45.51977,4015.82652,1.10106,45.20519,0
4.19249,4.20714,45.63416,4012.77109,1.07561,45.20872,0
4.23033,4.24537,45.74567,4009.77035,1.048,45.21229,0
4.26814,4.28357,45.8541,4006.82279,1.01832,45.21589,0
4.30593,4.32175,45.95924,4003.92691,0.98665,45.21952,0
4.34368,4.3599,46.06088,4001.08118,0.95308,45.2232,0
4.3814,4.39803,46.15883,3998.28406,0.9177,45.22691,0
4.4191,4.43614,46.25293,3995.53398,0.88058,45.23065,0
4.45676,4.47423,46.34299,3992.82938,0.84182,45.23444,0
4.4944,4.5123,46.42886,3990.16868,0.8015,45.23826,0
4.53201,4.55034,46.51039,3987.55031,0.7597,45.24212,0
4.5696,4.58837,46.58743,3984.97267,0.71651,45.24602,0
4.60715,4.62637,46.65984,3982.43418,0.672,45.24996,0
4.64468,4.66436,46.72751,3979.93325,0.62627,45.25393,0
4.68219,4.70232,46.79031,3977.46828,0.5794,45.25794,0
4.71967,4.74027,46.84814,3975.03769,0.53145,45.262,0
4.75712,4.7782,46.90089,3972.63987,0.48253,45.26609,0
4.79455,4.81611,46.94848,3970.27322,0.4327,45.27022,0
4.83195,4.85401,46.99081,3967.93615,0.38204,45.27439,0
4.86933,4.89188,47.02783,3965.62703,0.33063,45.27859,0
4.90668,4.92974,47.05945,3963.34427,0.27856,45.28284,0
4.94401,4.96759,47.08561,3961.08624,0.22589,45.28713,0
4.98132,5.00541,47.10628,3958.85132,0.17271,45.29145,0
5.0186,5.04322,47.1214,3956.63786,0.11908,45.29582,0
5.05586,5.08102,47.13094,3954.44423,0.0651,45.30022,0
5.0931,5.1188,47.13487,3952.26876,0.01083,45.30467,0
5.13031,5.15656,47.13318,3950.10979,-0.04365,45.30915,0
5.1675,5.19431,47.12584,3947.96561,-0.09827,45.31368,0
5.20466,5.23204,47.11286,3945.83454,-0.15295,45.31824,0
5.2418,5.26975,47.09424,3943.71484,-0.20761,45.32284,0
5.27892,5.30746,47.07,3941.60476,-0.26217,45.32748,0
5.31602,5.34514,47.04014,3939.50255,-0.31657,45.33216,0
5.35309,5.38282,47.00471,3937.4064,-0.37073,45.33688,0
5.39014,5.42047,46.96373,3935.3145,-0.42456,45.34164,0
5.42717,5.45812,46.91724,3933.225,-0.47799,45.34644,0
5.46418,5.49574,46.86531,3931.13603,-0.53095,45.35128,0
5.50116,5.53336,46.80798,3929.04569,-0.58335,45.35616,0
5.53812,5.57096,46.74532,3926.95202,-0.63512,45.36107,0
5.57506,5.60854,46.67742,3924.85307,-0.68618,45.36603,0
5.61197,5.64611,46.60434,3922.74683,-0.73644,45.37102,0
5.64886,5.68367,46.52619,3920.63125,-0.78583,45.37605,0
5.68573,5.72121,46.44307,3918.50426,-0.83427,45.38112,0
5.72257,5.75874,46.35507,3916.36375,-0.88167,45.38623,0
5.75939,5.79625,46.26232,3914.20757,-0.92795,45.39137,0
5.79619,5.83374,46.16494,3912.03352,-0.97303,45.39655,0
5.83296,5.87123,46.06306,3909.83939,-1.01682,45.40177,0
5.86971,5.90869,45.95684,3907.62293,-1.05924,45.40703,0
5.90643,5.94614,45.84641,3905.38183,-1.1002,45.41232,0
5.94313,5.98358,45.73193,3903.11379,-1.13961,45.41765,0
5.97981,6.021,45.61358,3900.81643,-1.1774,45.42301,0
6.01646,6.0584,45.49153,3898.48738,-1.21347,45.42842,0
6.05308,6.09579,45.36596,3896.12424,-1.24773,45.43385,0
6.08968,6.13316,45.23708,3893.72458,-1.2801,45.43932,0
6.12626,6.17052,45.10507,3891.28595,-1.31049,45.44483,0
6.1628,6.20785,44.97016,3888.8059,-1.33882,45.45037,0
6.19932,6.24517,44.83257,3886.28198,-1.36499,45.45594,0
6.23582,6.28247,44.69251,3883.71171,-1.38893,45.46155,0
6.27228,6.31976,44.55023,3881.09267,-1.41055,45.46719,0
6.30872,6.35702,44.40598,3878.4224,-1.42976,45.47286,0
6.34513,6.39427,44.26,3875.69851,-1.44649,45.47857,0
6.38151,6.43149,44.11256,3872.91863,-1.46066,45.48431,0
6.41786,6.4687,43.96392,3870.08042,-1.47218,45.49007,0
6.45418,6.50588,43.81437,3867.18164,-1.481,45.49587,0
6.49047,6.54305,43.66417,3864.22007,-1.48704,45.5017,0
6.52669,6.58023,43.51037,3861.20125,-1.55487,45.63186,54.999999061801
6.56279,6.61747,43.34992,3858.12884,-1.62103,45.76474,54.999999061801
6.59878,6.65477,43.18301,3854.99777,-1.68539,45.90053,54.999999061801
6.63465,6.69212,43.00985,3851.80282,-1.74783,46.0394,54.999999061801
6.6704,6.72953,42.83064,3848.53859,-1.80823,46.18155,54.999999061801
6.70603,6.76701,42.64561,3845.19956,-1.86645,46.32715,54.999999061801
6.74153,6.80455,42.455,3841.78002,-1.92237,46.47642,54.999999061801
6.77689,6.84214,42.25907,3838.27411,-1.97584,46.62955,54.999999061801
6.81213,6.87981,42.05809,3834.67582,-2.02674,46.78675,54.999999061801
6.84722,6.91754,41.85232,3830.97898,-2.07491,46.94823,54.999999061801
6.88218,6.95533,41.64207,3827.17731,-2.12021,47.11421,54.999999061801
6.91699,6.9932,41.42765,3823.26437,-2.16249,47.28492,54.999999061801
6.95165,7.03113,41.20939,3819.23362,-2.20161,47.46057,54.999999061801
6.98615,7.06913,40.98761,3815.07843,-2.23741,47.64141,54.999999061801
7.0205,7.10721,40.76268,3810.79208,-2.26974,47.82766,54.999999061801
7.05468,7.14536,40.53497,3806.3678,-2.29843,48.01956,54.999999061801
7.0887,7.18359,40.30486,3801.7988,-2.32334,48.21735,54.999999061801
7.12254,7.22189,40.07274,3797.0783,-2.34431,48.42126,54.999999061801
7.1562,7.26027,39.83904,3792.19955,-2.36119,48.63152,54.999999061801
7.18968,7.29873,39.60418,3787.15591,-2.37383,48.84838,54.999999061801
7.22297,7.33727,39.36861,3781.94085,-2.38207,49.07205,54.999999061801
7.25605,7.37589,39.13277,3776.54803,-2.38578,49.30275,54.999999061801
7.28894,7.4146,38.89714,3770.97135,-2.38482,49.54072,54.999999061801
7.32161,7.45339,38.66219,3765.20501,-2.37906,49.78613,54.999999061801
7.35407,7.49227,38.42842,3759.24357,-2.36838,50.0392,54.999999061801
7.38631,7.53124,38.19632,3753.082,-2.35266,50.30009,54.999999061801
7.41831,7.5703,37.96639,3746.71579,-2.33182,50.56896,54.999999061801
7.45007,7.60945,37.73916,3740.141,-2.30577,50.84596,54.999999061801
7.48159,7.64868,37.51514,3733.35432,-2.27444,51.13119,54.999999061801
7.51286,7.68802,37.29485,3726.35317,-2.23779,51.42475,54.999999061801
7.54387,7.72744,37.07881,3719.13576,-2.19578,51.7267,54.999999061801
7.57461,7.76696,36.86753,3711.70118,-2.14842,52.03707,54.999999061801
7.60507,7.80657,36.66154,3704.04942,-2.09572,52.35586,54.999999061801
7.63525,7.84628,36.46134,3696.1815,-2.03772,52.68303,54.999999061801
7.66514,7.88609,36.26743,3688.09946,-1.97449,53.0185,54.999999061801
7.69473,7.92598,36.08029,3679.80644,-1.90613,53.36216,54.999999061801
7.72401,7.96598,35.90039,3671.30674,-1.83278,53.71384,54.999999061801
7.75299,8.00606,35.72818,3662.60577,-1.75458,54.07334,54.999999061801
7.78164,8.04625,35.5641,3653.71013,-1.67172,54.44041,54.999999061801
7.80997,8.08652,35.40854,3644.62759,-1.58443,54.81478,54.999999061801
7.83797,8.12688,35.2619,3635.36705,-1.49294,55.19609,54.999999061801
7.86562,8.16734,35.12451,3625.93852,-1.39755,55.58397,54.999999061801
7.89294,8.20788,34.99669,3616.35306,-1.29855,55.97801,54.999999061801
7.9199,8.24851,34.87873,3606.62273,-1.19629,56.37775,54.999999061801
7.94651,8.28922,34.77088,3596.76051,-1.09111,56.78269,54.999999061801
7.97276,8.33002,34.67332,3586.78015,-0.9834,57.19231,54.999999061801
7.99865,8.3709,34.58625,3576.69616,-0.87356,57.60606,54.999999061801
8.02417,8.41185,34.50977,3566.52359,-0.762,58.02336,54.999999061801
8.04933,8.45287,34.44397,3556.27796,-0.64915,58.4436,54.999999061801
8.07411,8.49397,34.3889,3545.97511,-0.53546,58.86617,54.999999061801
8.09852,8.53513,34.34455,3535.63107,-0.42136,59.29045,54.999999061801
8.12256,8.57636,34.31088,3525.26191,-0.3073,59.71581,54.999999061801
8.14623,8.61765,34.28779,3514.88361,-0.19374,60.14161,54.999999061801
8.16952,8.659,34.27517,3504.51193,-0.0811,60.56725,54.999999061801
8.19244,8.70039,34.27285,3494.16225,0.03019,60.99211,54.999999061801
8.21499,8.74184,34.28062,3483.84951,0.13969,61.41559,54.999999061801
8.23717,8.78334,34.29825,3473.58807,0.24702,61.83713,54.999999061801
8.25899,8.82488,34.32545,3463.39161,0.35179,62.25616,54.999999061801
